    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Mean gene diversity (expected heterozygosity), SE, SD
    Mean inbreeding coefficient, SE, SD
    Mean number of alleles, SE, SD
    Mean number of lethal alleles, SE, SD
    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
No intervention
Population 1: MFWS
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 47.00; 0.00; 0.00; 47.00; 0.00; 0.00; 0.9894; 0.0000; 0.0000; 0.0000; 0.0000; 0.0000; 94.00; 0.00; 0.00; 3.14; 0.01; 0.23; 0.00; 0.00; 0.00; 0
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 87.42; 0.73; 22.96; 87.42; 0.73; 22.96; 0.9856; 0.0000; 0.0012; 0.0000; 0.0000; 0.0000; 90.00; 0.00; 0.00; 3.14; 0.01; 0.26; 0.00; 0.00; 0.00; 0
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063; 0.5847; 0.0086; 0.2722; 87.42; 0.73; 22.96; 87.42; 0.73; 22.96; 0.9856; 0.0000; 0.0012; 0.0000; 0.0000; 0.0000; 90.00; 0.00; 0.00; 3.14; 0.01; 0.26; 0.00; 0.00; 0.00; 0
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 87.42; 0.73; 22.96; 87.42; 0.73; 22.96; 0.9856; 0.0000; 0.0012; 0.0000; 0.0000; 0.0000; 90.00; 0.00; 0.00; 3.14; 0.01; 0.26; 0.00; 0.00; 0.00; 0
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 83.13; 0.80; 25.44; 83.13; 0.80; 25.44; 0.9847; 0.0000; 0.0010; 0.0000; 0.0000; 0.0000; 84.78; 0.18; 5.59; 3.14; 0.01; 0.27; 0.00; 0.00; 0.00; 0
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 93.63; 0.89; 28.13; 93.63; 0.89; 28.13; 0.9778; 0.0001; 0.0030; 0.0019; 0.0002; 0.0050; 65.44; 0.19; 6.00; 3.14; 0.01; 0.32; 0.00; 0.00; 0.00; 0
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063; 0.1228; 0.0129; 0.4064; 93.63; 0.89; 28.13; 93.63; 0.89; 28.13; 0.9778; 0.0001; 0.0030; 0.0019; 0.0002; 0.0050; 65.44; 0.19; 6.00; 3.14; 0.01; 0.32; 0.00; 0.00; 0.00; 0
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 93.63; 0.89; 28.13; 93.63; 0.89; 28.13; 0.9778; 0.0001; 0.0030; 0.0019; 0.0002; 0.0050; 65.44; 0.19; 6.00; 3.14; 0.01; 0.32; 0.00; 0.00; 0.00; 0
